iter	Passed	Remaining
1141	5603	4209
1142	5609	4206
1143	5615	4201
1144	5623	4198
1145	5629	4194
1146	5636	4191
1147	5641	4186
1148	5645	4181
1149	5652	4178
1150	5657	4173
1151	5662	4168
1152	5668	4164
1153	5673	4159
1154	5678	4154
1155	5685	4150
1156	5689	4145
1157	5694	4140
1158	5702	4138
1159	5709	4134
1160	5719	4132
1161	5723	4127
1162	5729	4123
1163	5735	4119
1164	5739	4113
1165	5745	4109
1166	5750	4104
1167	5755	4099
1168	5760	4095
1169	5766	4090
1170	5771	4085
1171	5776	4080
1172	5782	4076
1173	5787	4071
1174	5792	4066
1175	5797	4062
1176	5802	4057
1177	5807	4052
1178	5812	4047
1179	5817	4042
1180	5822	4037
1181	5827	4033
1182	5832	4028
1183	5837	4023
1184	5842	4018
1185	5847	4013
1186	5852	4008
1187	5857	4003
1188	5862	3998
1189	5866	3993
1190	5871	3988
1191	5876	3983
1192	5881	3978
1193	5886	3973
1194	5891	3968
1195	5895	3963
1196	5900	3958
1197	5905	3953
1198	5910	3948
1199	5915	3943
1200	5920	3938
1201	5924	3933
1202	5929	3928
1203	5934	3923
1204	5939	3918
1205	5943	3913
1206	5948	3908
1207	5953	3903
1208	5958	3898
1209	5963	3893
1210	5967	3888
1211	5972	3883
1212	5977	3878
1213	5982	3873
1214	5986	3867
1215	5991	3863
1216	5996	3857
1217	6001	3852
1218	6006	3848
1219	6011	3843
1220	6015	3838
1221	6020	3833
1222	6025	3828
1223	6030	3823
1224	6035	3818
1225	6039	3813
1226	6044	3808
1227	6049	3803
1228	6054	3798
1229	6058	3792
1230	6063	3788
1231	6068	3782
1232	6073	3777
1233	6078	3773
1234	6083	3768
1235	6087	3763
1236	6092	3757
1237	6098	3753
1238	6102	3748
1239	6107	3743
1240	6112	3738
1241	6117	3733
1242	6122	3728
1243	6127	3723
1244	6132	3718
1245	6137	3713
1246	6142	3708
1247	6146	3703
1248	6151	3698
1249	6156	3693
1250	6161	3688
1251	6165	3683
1252	6170	3678
1253	6175	3673
1254	6180	3668
1255	6184	3663
1256	6189	3658
1257	6194	3653
1258	6199	3648
1259	6204	3643
1260	6208	3638
1261	6213	3633
1262	6218	3628
1263	6223	3623
1264	6228	3618
1265	6233	3614
1266	6238	3609
1267	6242	3603
1268	6247	3598
1269	6252	3593
1270	6257	3588
1271	6262	3584
1272	6266	3578
1273	6271	3573
1274	6276	3568
1275	6281	3563
1276	6285	3558
1277	6290	3554
1278	6295	3549
1279	6300	3544
1280	6305	3539
1281	6309	3533
1282	6314	3528
1283	6319	3523
1284	6324	3519
1285	6329	3514
1286	6333	3508
1287	6338	3503
1288	6343	3498
1289	6348	3493
1290	6352	3488
1291	6357	3483
1292	6362	3478
1293	6366	3473
1294	6371	3468
1295	6376	3463
1296	6381	3458
1297	6386	3453
1298	6390	3448
1299	6395	3443
1300	6400	3438
1301	6405	3433
1302	6410	3428
1303	6414	3423
1304	6419	3418
1305	6424	3413
1306	6429	3409
1307	6434	3404
1308	6438	3399
1309	6443	3394
1310	6448	3389
1311	6453	3384
1312	6458	3379
1313	6462	3374
1314	6467	3369
1315	6472	3364
1316	6477	3359
1317	6481	3354
1318	6486	3349
1319	6491	3344
1320	6496	3339
1321	6500	3334
1322	6505	3328
1323	6510	3324
1324	6514	3318
1325	6519	3313
1326	6524	3308
1327	6529	3303
1328	6534	3298
1329	6538	3294
1330	6543	3288
1331	6548	3284
1332	6553	3279
1333	6558	3274
1334	6563	3269
1335	6567	3264
1336	6572	3259
1337	6577	3254
1338	6582	3249
1339	6587	3244
1340	6592	3239
1341	6597	3234
1342	6601	3229
1343	6606	3224
1344	6611	3219
1345	6616	3214
1346	6621	3209
1347	6625	3204
1348	6630	3199
1349	6635	3194
1350	6640	3190
1351	6645	3184
1352	6649	3179
1353	6654	3174
1354	6659	3169
1355	6663	3164
1356	6668	3159
1357	6673	3154
1358	6678	3149
1359	6683	3145
1360	6687	3140
1361	6692	3135
1362	6697	3130
1363	6702	3125
1364	6707	3120
1365	6712	3115
1366	6716	3110
1367	6721	3105
1368	6726	3100
1369	6731	3095
1370	6735	3090
1371	6740	3085
1372	6745	3080
1373	6750	3075
1374	6754	3070
1375	6760	3065
1376	6765	3060
1377	6770	3055
1378	6774	3050
1379	6779	3045
1380	6784	3040
1381	6788	3035
1382	6793	3030
1383	6798	3025
1384	6803	3021
1385	6808	3016
1386	6813	3011
1387	6818	3006
1388	6823	3001
1389	6828	2996
1390	6832	2991
1391	6837	2986
1392	6842	2981
1393	6847	2976
1394	6852	2971
1395	6856	2966
1396	6861	2961
1397	6866	2956
1398	6871	2951
1399	6876	2947
1400	6881	2942
1401	6886	2937
1402	6891	2932
1403	6895	2927
1404	6900	2922
1405	6905	2917
1406	6910	2912
1407	6915	2907
1408	6919	2902
1409	6924	2897
1410	6929	2892
1411	6934	2887
1412	6939	2882
1413	6943	2877
1414	6948	2872
1415	6953	2867
1416	6958	2862
1417	6963	2857
1418	6967	2852
1419	6972	2848
1420	6977	2842
1421	6982	2838
1422	6986	2833
1423	6991	2828
1424	6996	2823
1425	7001	2818
1426	7006	2813
1427	7011	2808
1428	7016	2803
1429	7020	2798
1430	7025	2793
1431	7030	2788
1432	7035	2783
1433	7039	2778
1434	7044	2773
1435	7049	2768
1436	7054	2763
1437	7058	2758
1438	7063	2753
1439	7068	2748
1440	7073	2743
1441	7077	2738
1442	7082	2733
1443	7087	2728
1444	7091	2723
1445	7096	2718
1446	7101	2713
1447	7106	2709
1448	7111	2704
1449	7116	2699
1450	7120	2694
1451	7125	2689
1452	7130	2684
1453	7135	2679
1454	7140	2674
1455	7145	2669
1456	7150	2664
1457	7155	2659
1458	7159	2654
1459	7164	2649
1460	7169	2644
1461	7173	2639
1462	7178	2634
